effective,processed,type,amount($)
10/15/2025,10/15/2025,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($53.68)
10/15/2025,10/15/2025,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($52.56)
10/15/2025,10/15/2025,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,"$4,373.02 "
10/15/2025,10/15/2025,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,"$4,261.28 "
10/15/2025,10/15/2025,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.66 
10/15/2025,10/15/2025,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.67 
10/15/2025,10/15/2025,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.37 
10/15/2025,10/15/2025,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
10/15/2025,10/15/2025,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$0.00 
10/13/2025,10/13/2025,Monthly Deduction,($136.95)
10/13/2025,10/13/2025,Payment,"$2,255.00 "
9/15/2025,9/15/2025,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($47.54)
9/15/2025,9/15/2025,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($46.61)
9/15/2025,9/15/2025,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,"$3,759.57 "
9/15/2025,9/15/2025,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,"$3,666.19 "
9/15/2025,9/15/2025,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.72 
9/15/2025,9/15/2025,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.72 
9/15/2025,9/15/2025,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.26 
9/15/2025,9/15/2025,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
9/15/2025,9/15/2025,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$0.00 
9/13/2025,9/15/2025,Monthly Deduction,($137.05)
9/13/2025,9/15/2025,Payment,"$2,255.00 "
8/15/2025,8/15/2025,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($40.53)
8/15/2025,8/15/2025,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($40.56)
8/15/2025,8/15/2025,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,"$3,057.89 "
8/15/2025,8/15/2025,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,"$3,060.86 "
8/15/2025,8/15/2025,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.66 
8/15/2025,8/15/2025,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.66 
